ScheduleYearName,EndMonth,EndDay,ScheduleWk,ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
ManufacturingHVACAvail,12,31,ManufacturingHVACAvailWk,ManufacturingHVACAvailWk,ManufacturingHVACAvailWD,ManufacturingHVACAvailWD,ManufacturingHVACAvailWD,ManufacturingHVACAvailWD,ManufacturingHVACAvailWD,ManufacturingHVACAvailSat,ManufacturingHVACAvailSun,ManufacturingHVACAvailSun,OnDay,OnDay
ManufacturingServiceHotWater,12,31,ManufacturingServiceHotWaterWk,ManufacturingServiceHotWaterWk,ManufacturingServiceHotWaterWD,ManufacturingServiceHotWaterWD,ManufacturingServiceHotWaterWD,ManufacturingServiceHotWaterWD,ManufacturingServiceHotWaterWD,ManufacturingServiceHotWaterSat,ManufacturingServiceHotWaterSun,ManufacturingServiceHotWaterSun,OffDay,OnDay
ManufacturingElevator,12,31,ManufacturingElevatorWk,ManufacturingElevatorWk,ManufacturingElevatorWD,ManufacturingElevatorWD,ManufacturingElevatorWD,ManufacturingElevatorWD,ManufacturingElevatorWD,ManufacturingElevatorSat,ManufacturingElevatorSun,ManufacturingElevatorSun,OffDay,OnDay
ManufacturingRefrigeration,12,31,ManufacturingRefrigerationWk,ManufacturingRefrigerationWk,ManufacturingRefrigerationWD,ManufacturingRefrigerationWD,ManufacturingRefrigerationWD,ManufacturingRefrigerationWD,ManufacturingRefrigerationWD,ManufacturingRefrigerationSat,ManufacturingRefrigerationSun,ManufacturingRefrigerationSun,ManufacturingRefrigerationSun,ManufacturingRefrigerationWD
ManufacturingGasEquip,12,31,ManufacturingGasEquipWk,ManufacturingGasEquipWk,ManufacturingGasEquipWD,ManufacturingGasEquipWD,ManufacturingGasEquipWD,ManufacturingGasEquipWD,ManufacturingGasEquipWD,ManufacturingGasEquipSat,ManufacturingGasEquipSun,ManufacturingGasEquipSun,OffDay,OnDay
ManufacturingHtgSetpt,12,31,ManufacturingHtgSetptWk,ManufacturingHtgSetptWk,ManufacturingHtgSetptWD,ManufacturingHtgSetptWD,ManufacturingHtgSetptWD,ManufacturingHtgSetptWD,ManufacturingHtgSetptWD,ManufacturingHtgSetptSat,ManufacturingHtgSetptSun,ManufacturingHtgSetptSun,ManufacturingHtgSetptWD,ManufacturingHtgSetptWD
ManufacturingClgSetpt,12,31,ManufacturingClgSetptWk,ManufacturingClgSetptWk,ManufacturingClgSetptWD,ManufacturingClgSetptWD,ManufacturingClgSetptWD,ManufacturingClgSetptWD,ManufacturingClgSetptWD,ManufacturingClgSetptSat,ManufacturingClgSetptSun,ManufacturingClgSetptSun,ManufacturingClgSetptWD,ManufacturingClgSetptWD
ManufacturingInfiltration,12,31,ManufacturingInfiltrationWk,ManufacturingInfiltrationWk,ManufacturingInfiltrationWD,ManufacturingInfiltrationWD,ManufacturingInfiltrationWD,ManufacturingInfiltrationWD,ManufacturingInfiltrationWD,ManufacturingInfiltrationSat,ManufacturingInfiltrationSun,ManufacturingInfiltrationSun,ManufacturingInfiltrationWD,ManufacturingInfiltrationWD
ManufacturingWtrHtrSetpt,12,31,ManufacturingWtrHtrSetptWk,ManufacturingWtrHtrSetptWk,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptSat,ManufacturingWtrHtrSetptSun,ManufacturingWtrHtrSetptSun,ManufacturingWtrHtrSetptWD,ManufacturingWtrHtrSetptWD
ManufacturingEscalator,12,31,ManufacturingEscalatorWk,ManufacturingEscalatorWk,ManufacturingEscalatorWD,ManufacturingEscalatorWD,ManufacturingEscalatorWD,ManufacturingEscalatorWD,ManufacturingEscalatorWD,ManufacturingEscalatorSat,ManufacturingEscalatorSun,ManufacturingEscalatorSun,OffDay,OnDay
OfficeOccupancy,12,31,OfficeOccupancyWk,OfficeOccupancyWk,OfficeOccupancyWD,OfficeOccupancyWD,OfficeOccupancyWD,OfficeOccupancyWD,OfficeOccupancyWD,OfficeOccupancySat,OfficeOccupancySun,OfficeOccupancySun,OffDay,OnDay
OfficeLights,12,31,OfficeLightsWk,OfficeLightsWk,OfficeLightsWD,OfficeLightsWD,OfficeLightsWD,OfficeLightsWD,OfficeLightsWD,OfficeLightsSat,OfficeLightsSun,OfficeLightsSun,OffDay,OnDay
OfficeReceptacle,12,31,OfficeReceptacleWk,OfficeReceptacleWk,OfficeReceptacleWD,OfficeReceptacleWD,OfficeReceptacleWD,OfficeReceptacleWD,OfficeReceptacleWD,OfficeReceptacleSat,OfficeReceptacleSun,OfficeReceptacleSun,OffDay,OnDay
OfficeHVACAvail,12,31,OfficeHVACAvailWk,OfficeHVACAvailWk,OfficeHVACAvailWD,OfficeHVACAvailWD,OfficeHVACAvailWD,OfficeHVACAvailWD,OfficeHVACAvailWD,OfficeHVACAvailSat,OfficeHVACAvailSun,OfficeHVACAvailSun,OnDay,OnDay
OfficeServiceHotWater,12,31,OfficeServiceHotWaterWk,OfficeServiceHotWaterWk,OfficeServiceHotWaterWD,OfficeServiceHotWaterWD,OfficeServiceHotWaterWD,OfficeServiceHotWaterWD,OfficeServiceHotWaterWD,OfficeServiceHotWaterSat,OfficeServiceHotWaterSun,OfficeServiceHotWaterSun,OffDay,OnDay
OfficeElevator,12,31,OfficeElevatorWk,OfficeElevatorWk,OfficeElevatorWD,OfficeElevatorWD,OfficeElevatorWD,OfficeElevatorWD,OfficeElevatorWD,OfficeElevatorSat,OfficeElevatorSun,OfficeElevatorSun,OffDay,OnDay
OfficeRefrigeration,12,31,OfficeRefrigerationWk,OfficeRefrigerationWk,OfficeRefrigerationWD,OfficeRefrigerationWD,OfficeRefrigerationWD,OfficeRefrigerationWD,OfficeRefrigerationWD,OfficeRefrigerationSat,OfficeRefrigerationSun,OfficeRefrigerationSun,OfficeRefrigerationSun,OfficeRefrigerationWD
