ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
WarehouseServiceHotWaterWk,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterSat,WarehouseServiceHotWaterSun,WarehouseServiceHotWaterSun,OffDay,OnDay
WarehouseElevatorWk,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorSat,WarehouseElevatorSun,WarehouseElevatorSun,OffDay,OnDay
WarehouseRefrigerationWk,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationSat,WarehouseRefrigerationSun,WarehouseRefrigerationSun,WarehouseRefrigerationSun,WarehouseRefrigerationWD
WarehouseHtgSetptWk,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptSat,WarehouseHtgSetptSun,WarehouseHtgSetptSun,WarehouseHtgSetptWD,WarehouseHtgSetptWD
WarehouseClgSetptWk,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptSat,WarehouseClgSetptSun,WarehouseClgSetptSun,WarehouseClgSetptWD,WarehouseClgSetptWD
WarehouseInfiltrationWk,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationSat,WarehouseInfiltrationSun,WarehouseInfiltrationSun,WarehouseInfiltrationWD,WarehouseInfiltrationWD
WarehouseEscalatorWk,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorSat,WarehouseEscalatorSun,WarehouseEscalatorSun,OffDay,OnDay
WarehouseWtrHtrSetptWk,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptSat,WarehouseWtrHtrSetptSun,WarehouseWtrHtrSetptSun,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD
WarehouseGasEquipWk,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipSat,WarehouseGasEquipSun,WarehouseGasEquipSun,OffDay,OnDay
WaterMainCZ01JanWk,WaterMainCZ01Jan,WaterMainCZ01Jan,WaterMainCZ01Jan,WaterMainCZ01Jan,WaterMainCZ01Jan,WaterMainCZ01Jan,WaterMainCZ01Jan,WaterMainCZ01Jan,WaterMainCZ01Jan,WaterMainCZ01Jan
